"fk_table_schema","fk_table_name","fk_column_name","pk_table_schema","pk_table_name","pk_column_name","fk_constraint_name"
"public","catalog_search_tags","catalog_search_uuid","public","catalog_search","catalog_search_uuid","catalog_search_tags_catalog_search_uuid_foreign"
"public","catalog_search_tags","created_by_user_uuid","public","users","user_uuid","catalog_search_tags_created_by_user_uuid_foreign"
"public","dashboard_tabs","dashboard_id","public","dashboards","dashboard_id","dashboard_tabs_dashboard_id_foreign"
"public","dashboard_tabs","dashboard_version_id","public","dashboard_versions","dashboard_version_id","dashboard_tabs_dashboard_version_id_foreign"
"public","dashboard_tile_charts","dashboard_version_id","public","dashboard_tiles","dashboard_tile_uuid","dashboard_tile_charts_dashboard_version_id_dashboard_tile_uuid_"
"public","dashboard_tile_charts","saved_chart_id","public","saved_queries","saved_query_id","dashboard_tile_charts_saved_chart_id_foreign"
"public","dashboard_tile_charts","dashboard_version_id","public","dashboard_tiles","dashboard_version_id","dashboard_tile_charts_dashboard_version_id_dashboard_tile_uuid_"
"public","dashboard_tile_charts","dashboard_tile_uuid","public","dashboard_tiles","dashboard_tile_uuid","dashboard_tile_charts_dashboard_version_id_dashboard_tile_uuid_"
"public","dashboard_tile_charts","dashboard_tile_uuid","public","dashboard_tiles","dashboard_version_id","dashboard_tile_charts_dashboard_version_id_dashboard_tile_uuid_"
"public","dashboard_tile_comments","reply_to","public","dashboard_tile_comments","comment_id","dashboard_tile_comments_reply_to_foreign"
"public","dashboard_tile_comments","user_uuid","public","users","user_uuid","dashboard_tile_comments_user_uuid_foreign"
"public","dashboard_tile_comments","saved_chart_uuid","public","saved_queries","saved_query_uuid","dashboard_tile_comments_saved_chart_uuid_foreign"
"public","dashboard_tile_looms","dashboard_version_id","public","dashboard_tiles","dashboard_version_id","dashboard_tile_looms_dashboard_version_id_dashboard_tile_uuid_f"
"public","dashboard_tile_looms","dashboard_version_id","public","dashboard_tiles","dashboard_tile_uuid","dashboard_tile_looms_dashboard_version_id_dashboard_tile_uuid_f"
"public","dashboard_tile_looms","dashboard_tile_uuid","public","dashboard_tiles","dashboard_version_id","dashboard_tile_looms_dashboard_version_id_dashboard_tile_uuid_f"
"public","dashboard_tile_looms","dashboard_tile_uuid","public","dashboard_tiles","dashboard_tile_uuid","dashboard_tile_looms_dashboard_version_id_dashboard_tile_uuid_f"
"public","dashboard_tile_markdowns","dashboard_version_id","public","dashboard_tiles","dashboard_version_id","dashboard_tile_markdowns_dashboard_version_id_dashboard_tile_uu"
"public","dashboard_tile_markdowns","dashboard_version_id","public","dashboard_tiles","dashboard_tile_uuid","dashboard_tile_markdowns_dashboard_version_id_dashboard_tile_uu"
"public","dashboard_tile_markdowns","dashboard_tile_uuid","public","dashboard_tiles","dashboard_version_id","dashboard_tile_markdowns_dashboard_version_id_dashboard_tile_uu"
"public","dashboard_tile_markdowns","dashboard_tile_uuid","public","dashboard_tiles","dashboard_tile_uuid","dashboard_tile_markdowns_dashboard_version_id_dashboard_tile_uu"
"public","dashboard_tile_semantic_viewer_charts","saved_semantic_viewer_chart_uuid","public","saved_semantic_viewer_charts","saved_semantic_viewer_chart_uuid","dashboard_tile_semantic_viewer_charts_saved_semantic_viewer_cha"
"public","dashboard_tile_sql_charts","saved_sql_uuid","public","saved_sql","saved_sql_uuid","dashboard_tile_sql_charts_saved_sql_uuid_foreign"
"public","dashboard_tiles","tab_uuid","public","dashboard_tabs","uuid","dashboard_tiles_tab_uuid_dashboard_version_id_foreign"
"public","dashboard_tiles","dashboard_version_id","public","dashboard_versions","dashboard_version_id","dashboard_tiles_dashboard_version_id_foreign"
"public","dashboard_tiles","type","public","dashboard_tile_types","dashboard_tile_type","dashboard_tiles_type_foreign"
"public","dashboard_tiles","tab_uuid","public","dashboard_tabs","dashboard_version_id","dashboard_tiles_tab_uuid_dashboard_version_id_foreign"
"public","dashboard_tiles","dashboard_version_id","public","dashboard_tabs","dashboard_version_id","dashboard_tiles_tab_uuid_dashboard_version_id_foreign"
"public","dashboard_tiles","dashboard_version_id","public","dashboard_tabs","uuid","dashboard_tiles_tab_uuid_dashboard_version_id_foreign"
"public","dashboard_versions","updated_by_user_uuid","public","users","user_uuid","dashboard_versions_updated_by_user_uuid_foreign"
"public","dashboard_versions","dashboard_id","public","dashboards","dashboard_id","dashboard_versions_dashboard_id_foreign"
"public","dashboard_views","dashboard_version_id","public","dashboard_versions","dashboard_version_id","dashboard_views_dashboard_version_id_foreign"
"public","dashboards","space_id","public","spaces","space_id","dashboards_space_id_foreign"
"public","dbt_cloud_integrations","project_id","public","projects","project_id","dbt_cloud_integrations_project_id_foreign"
"public","email_one_time_passcodes","email_id","public","emails","email_id","email_one_time_passcodes_email_id_foreign"
"public","emails","user_id","public","users","user_id","emails_user_id_fkey"
"public","github_app_installations","organization_uuid","public","organizations","organization_uuid","github_app_installations_organization_uuid_foreign"
"public","github_app_installations","updated_by_user_uuid","public","users","user_uuid","github_app_installations_updated_by_user_uuid_foreign"
"public","github_app_installations","created_by_user_uuid","public","users","user_uuid","github_app_installations_created_by_user_uuid_foreign"
"public","group_memberships","user_id","public","organization_memberships","user_id","group_memberships_user_id_organization_id_foreign"
"public","group_memberships","user_id","public","organization_memberships","organization_id","group_memberships_user_id_organization_id_foreign"
"public","group_memberships","group_uuid","public","groups","organization_id","group_memberships_group_uuid_organization_id_foreign"
"public","group_memberships","group_uuid","public","groups","group_uuid","group_memberships_group_uuid_organization_id_foreign"
"public","group_memberships","organization_id","public","organization_memberships","user_id","group_memberships_user_id_organization_id_foreign"
"public","group_memberships","organization_id","public","groups","organization_id","group_memberships_group_uuid_organization_id_foreign"
"public","group_memberships","organization_id","public","groups","group_uuid","group_memberships_group_uuid_organization_id_foreign"
"public","group_memberships","organization_id","public","organization_memberships","organization_id","group_memberships_user_id_organization_id_foreign"
"public","group_user_attributes","group_uuid","public","groups","group_uuid","group_user_attributes_group_uuid_foreign"
